ALIAS CODE,OBJECT_TABLE_NAME,OBJECT_CODE,NAMING_SYSTEM_CODE,ALIAS,REMARKS
1793,Coordinate Reference System,2334,7301,Xian 1980 / 6-degree Gauss-Kruger zone 20,Part of the China National Coordinate System of 1980.
1794,Coordinate Reference System,2335,7301,Xian 1980 / 6-degree Gauss-Kruger zone 21,Part of the China National Coordinate System of 1980.
1795,Coordinate Reference System,2336,7301,Xian 1980 / 6-degree Gauss-Kruger zone 22,Part of the China National Coordinate System of 1980.
1796,Coordinate Reference System,2337,7301,Xian 1980 / 6-degree Gauss-Kruger zone 23,Part of the China National Coordinate System of 1980.
1797,Coordinate Reference System,21413,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 13,
1798,Coordinate Reference System,21414,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 14,
1799,Coordinate Reference System,21415,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 15,
1800,Coordinate Reference System,21416,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 16
1801,Coordinate Reference System,21417,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 17
1802,Coordinate Reference System,21418,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 18
1803,Coordinate Reference System,21419,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 19
1804,Coordinate Reference System,21420,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 20
1805,Coordinate Reference System,21421,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 21
1806,Coordinate Reference System,21422,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 22
1807,Coordinate Reference System,21423,7301,Beijing 1954 / 6-degree Gauss-Kruger zone 23
1808,Coordinate Reference System,21453,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 75E
1809,Coordinate Reference System,21454,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 81E
1810,Coordinate Reference System,21455,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 87E
1811,Coordinate Reference System,21456,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 93E
1812,Coordinate Reference System,21457,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 99E
1813,Coordinate Reference System,21458,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 105E
1814,Coordinate Reference System,21459,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 111E
1815,Coordinate Reference System,21460,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 117E
1816,Coordinate Reference System,21461,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 123E
1817,Coordinate Reference System,21462,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 129E
1818,Coordinate Reference System,21463,7301,Beijing 1954 / 6-degree Gauss-Kruger CM 135E
1819,Coordinate_Operation,5405,7302,HKPD to Hong Kong Chart (1)
1820,Coordinate Reference System,2044,7301,Hanoi 1972 / 6-degree Gauss-Kruger zone 18
1821,Coordinate Reference System,2045,7301,Hanoi 1972 / 6-degree Gauss-Kruger zone 19
1822,Coordinate Reference System,2462,7301,Albanian 1987 / 6-degree Gauss-Kruger zone 4
1823,Coordinate Reference System,2397,7310,Pulkovo 1942(83) / Gauss-Kruger zone 3
1824,Coordinate Reference System,2398,7310,Pulkovo 1942(83) / Gauss-Kruger zone 4
1825,Coordinate Reference System,2399,7310,Pulkovo 1942(83) / Gauss-Kruger zone 5
1826,Coordinate Reference System,2395,7302,S Yemen / G-K zone 8
1827,Coordinate Reference System,2396,7302,S Yemen / G-K zone 9
1828,Coordinate Reference System,2396,7301,South Yemen / 6-degree Gauss-Kruger zone 9
1829,Coordinate Reference System,2395,7301,South Yemen / 6-degree Gauss-Kruger zone 8
1830,Coordinate_Operation,18031,7301,Gauss-Kruger zone 1
1831,Coordinate_Operation,18032,7301,Gauss-Kruger zone 2
1832,Coordinate_Operation,18033,7301,Gauss-Kruger zone 3
1833,Coordinate_Operation,18034,7301,Gauss-Kruger zone 4
1834,Coordinate_Operation,18035,7301,Gauss-Kruger zone 5
1835,Coordinate_Operation,18036,7301,Gauss-Kruger zone 6
1836,Coordinate_Operation,18037,7301,Gauss-Kruger zone 7
1837,Coordinate Reference System,22191,7301,Campo Inchauspe / Gauss-Kruger zone 1
1838,Coordinate Reference System,22192,7301,Campo Inchauspe / Gauss-Kruger zone 2
1839,Coordinate Reference System,22193,7301,Campo Inchauspe / Gauss-Kruger zone 3
1840,Coordinate Reference System,22194,7301,Campo Inchauspe / Gauss-Kruger zone 4
1841,Coordinate Reference System,22195,7301,Campo Inchauspe / Gauss-Kruger zone 5
1842,Coordinate Reference System,22196,7301,Campo Inchauspe / Gauss-Kruger zone 6
1843,Coordinate Reference System,22197,7301,Campo Inchauspe / Gauss-Kruger zone 7
1844,Coordinate Reference System,2081,7301,Chos Malal 1914 / Gauss-Kruger zone 2
1845,Coordinate Reference System,2082,7301,Pampa del Castillo / Gauss-Kruger zone 2
1846,Coordinate Reference System,2083,7301,Hito XVIII 1963 / Gauss-Kruger zone 2
1847,Coordinate Reference System,20004,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 4
1848,Coordinate Reference System,20005,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 5
1849,Coordinate Reference System,20006,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 6
1850,Coordinate Reference System,20007,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 7
1851,Coordinate Reference System,20008,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 8
1852,Coordinate Reference System,20009,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 9
1853,Coordinate Reference System,20010,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 10
1854,Coordinate Reference System,20011,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 11
1855,Coordinate Reference System,20012,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 12
1856,Coordinate Reference System,20013,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 13
1857,Coordinate Reference System,20014,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 14
1858,Coordinate Reference System,20015,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 15
1859,Coordinate Reference System,20016,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 16
1860,Coordinate Reference System,20017,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 17
1861,Coordinate Reference System,20018,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 18
1862,Coordinate Reference System,20019,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 19
1863,Coordinate Reference System,20020,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 20
1864,Coordinate Reference System,20021,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 21
1865,Coordinate Reference System,20022,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 22
1866,Coordinate Reference System,20023,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 23
1867,Coordinate Reference System,20024,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 24
1868,Coordinate Reference System,20025,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 25
1869,Coordinate Reference System,20026,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 26
1870,Coordinate Reference System,20027,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 27
1871,Coordinate Reference System,20028,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 28
1872,Coordinate Reference System,20029,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 29
1873,Coordinate Reference System,20030,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 30
1874,Coordinate Reference System,20031,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 31
1875,Coordinate Reference System,20032,7301,Pulkovo 1995 / 6-degree Gauss-Kruger zone 32
1876,Coordinate Reference System,28402,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 2
1877,Coordinate Reference System,28403,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 3
1878,Coordinate Reference System,28404,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 4
1879,Coordinate Reference System,28405,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 5
1880,Coordinate Reference System,28406,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 6
1881,Coordinate Reference System,28407,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 7
1882,Coordinate Reference System,28408,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 8
1883,Coordinate Reference System,28409,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 9
1884,Coordinate Reference System,28410,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 10
1885,Coordinate Reference System,28411,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 11
1886,Coordinate Reference System,28412,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 12
1887,Coordinate Reference System,28413,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 13
1888,Coordinate Reference System,28414,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 14
1889,Coordinate Reference System,28415,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 15
1890,Coordinate Reference System,28416,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 16
1891,Coordinate Reference System,28417,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 17
1892,Coordinate Reference System,28418,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 18
1893,Coordinate Reference System,28419,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 19
1894,Coordinate Reference System,28420,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 20
1895,Coordinate Reference System,28421,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 21
1896,Coordinate Reference System,28422,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 22
1897,Coordinate Reference System,28423,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 23
1898,Coordinate Reference System,28424,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 24
1899,Coordinate Reference System,28425,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 25
1900,Coordinate Reference System,28426,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 26
1901,Coordinate Reference System,28427,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 27
1902,Coordinate Reference System,28428,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 28
1903,Coordinate Reference System,28429,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 29
1904,Coordinate Reference System,28430,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 30
1905,Coordinate Reference System,28431,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 31
1906,Coordinate Reference System,28432,7301,Pulkovo 1942 / 6-degree Gauss-Kruger zone 32
1907,Coordinate Reference System,2463,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 21E
1908,Coordinate Reference System,2464,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 27E
1909,Coordinate Reference System,2465,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 33E
1910,Coordinate Reference System,2466,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 39E
1911,Coordinate Reference System,2467,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 45E
1912,Coordinate Reference System,2468,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 51E
1913,Coordinate Reference System,2469,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 57E
1914,Coordinate Reference System,2470,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 63E
1915,Coordinate Reference System,2471,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 69E
1916,Coordinate Reference System,2472,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 75E
1917,Coordinate Reference System,2473,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 81E
1918,Coordinate Reference System,2474,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 87E
1919,Coordinate Reference System,2475,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 93E
1920,Coordinate Reference System,2476,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 99E
1921,Coordinate Reference System,2477,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 105E
1922,Coordinate Reference System,2478,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 111E
1923,Coordinate Reference System,2479,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 117E
1924,Coordinate Reference System,2480,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 123E
1925,Coordinate Reference System,2481,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 129E
1926,Coordinate Reference System,2482,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 135E
1927,Coordinate Reference System,2483,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 141E
1928,Coordinate Reference System,2484,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 147E
1929,Coordinate Reference System,2485,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 153E
1930,Coordinate Reference System,2486,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 159E
1931,Coordinate Reference System,2487,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 165E
1932,Coordinate Reference System,2488,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 171E
1933,Coordinate Reference System,2489,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 177E
1934,Coordinate Reference System,2490,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 177W
1935,Coordinate Reference System,2491,7301,Pulkovo 1995 / 6-degree Gauss-Kruger CM 171W
1936,Coordinate Reference System,2492,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 9E
1937,Coordinate Reference System,2493,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 15E
1938,Coordinate Reference System,2494,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 21E
1939,Coordinate Reference System,2495,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 27E
1940,Coordinate Reference System,2496,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 33E
1941,Coordinate Reference System,2497,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 39E
1942,Coordinate Reference System,2498,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 45E
1943,Coordinate Reference System,2499,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 51E
1944,Coordinate Reference System,2500,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 57E
1945,Coordinate Reference System,2501,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 63E
1946,Coordinate Reference System,2502,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 69E
1947,Coordinate Reference System,2503,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 75E
1948,Coordinate Reference System,2504,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 81E
1949,Coordinate Reference System,2505,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 87E
1950,Coordinate Reference System,2506,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 93E
1951,Coordinate Reference System,2507,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 99E
1952,Coordinate Reference System,2508,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 105E
1953,Coordinate Reference System,2509,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 111E
1954,Coordinate Reference System,2510,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 117E
1955,Coordinate Reference System,2511,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 123E
1956,Coordinate Reference System,2512,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 129E
1957,Coordinate Reference System,2513,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 135E
1958,Coordinate Reference System,2514,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 141E
1959,Coordinate Reference System,2515,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 147E
1960,Coordinate Reference System,2516,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 153E,
1961,Coordinate Reference System,2517,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 159E,
1962,Coordinate Reference System,2518,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 165E,
1963,Coordinate Reference System,2519,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 171E,
1964,Coordinate Reference System,2520,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 177E,
1965,Coordinate Reference System,2521,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 177W,
1966,Coordinate Reference System,2522,7301,Pulkovo 1942 / 6-degree Gauss-Kruger CM 171W,
1967,Unit of Measure,9115,7302,DM,
1968,Unit of Measure,9115,7306,dega,
1991,Coordinate Reference System,4327,7311,DGN-95 (geographic 3D),Datum Geodesi Nasional 1995 (DGN-95) is a synonym for WGS 84 in Indonesia.
1992,Coordinate Reference System,4328,7311,DGN-95 (geocentric),Datum Geodesi Nasional 1995 (DGN-95) is a synonym for WGS 84 in Indonesia.
1994,Coordinate_Operation,1814,7301,Genuk to WGS 84 (3),
1996,Datum,6820,7302,Segara (Jakarta),
1997,Datum,6613,7302,Segara,
1998,Datum,6613,7301,Samboja,Samboja-1 is one of two stations used as the baseline for extension to government triangulation by Total Indonesia in 1970-71.
1999,Datum,6613,7301,P2 Exc,P2 Exc is one of two stations used as the baseline for extension to government triangulation by Total Indonesia in 1970-71. P2 Exc is a replacement satellite station to the destroyed station P2.
2000,Datum,6613,7301,P2 Exc-T9,P2 Exc was a replacement satellite station to the destroyed station P2 from which several Toran stations including T9 were coordinated in 1970-71. When further control work was executed in 1995 P2 Exc was by then destroyed and T9 was used as its origin.
2001,Coordinate Reference System,4613,7301,Samboja,Oil industry extension in the Mahakam delta region. Also known as P2 Exc and P2 Exc-T9.
2002,Coordinate Reference System,4613,7301,P2 Exc-T9,Oil industry extension in the Mahakam delta region. Also known as P2 Exc and Samboja.
2003,Coordinate Reference System,4613,7301,P2 Exc,Oil industry extension in the Mahakam delta region. Also known as P2 Exc-T9 and Samboja.
2004,Coordinate_Operation,1838,7301,Samboja to WGS 84 (4),
2005,Coordinate_Operation,1838,7301,P2 Exc-T9 to WGS 84 (4),
2006,Datum,6614,7302,QND95,
2008,Coordinate Reference System,2933,7301,Samboja / UTM zone 50S,
2009,Coordinate Reference System,2933,7301,P2 Exc-T9 / UTM zone 50S,
2010,Unit of Measure,9110,7301,sexagesimal degree,
2011,Coordinate Reference System,2952,7301,NAD83(CSRS) / SCoPQ zone 10,
2012,Coordinate Reference System,2945,7301,NAD83(CSRS) / SCoPQ zone 3,
2013,Coordinate Reference System,2946,7301,NAD83(CSRS) / SCoPQ zone 4,
2014,Coordinate Reference System,2947,7301,NAD83(CSRS) / SCoPQ zone 5,
2015,Coordinate Reference System,2948,7301,NAD83(CSRS) / SCoPQ zone 6,
2016,Coordinate Reference System,2949,7301,NAD83(CSRS) / SCoPQ zone 7,
2017,Coordinate Reference System,2950,7301,NAD83(CSRS) / SCoPQ zone 8,
2018,Coordinate Reference System,2951,7301,NAD83(CSRS) / SCoPQ zone 9,
2019,Coordinate_Operation,18071,7301,Green Belt,
2020,Coordinate Reference System,22991,7301,Egypt 1907 / Green Belt,
2021,Coordinate_Operation Parameter,8806,7301,False westing,"This alias applies only in the case of projection methods which have an axis positive west, e.g. Transverse Mercator (South Orientated)."
2022,Coordinate_Operation Parameter,8807,7301,False southing,"This alias applies only in the case of projection methods which have an axis positive south, e.g. Transverse Mercator (South Orientated)."
2023,Ellipsoid,7050,7301,GRS 1967,
2024,Coordinate_Operation,18131,7301,Zone 1 Nord Maroc,
2025,Coordinate_Operation,18132,7301,Zone 2 Sud Maroc,
2026,Coordinate_Operation,18134,7301,Zone 3 Sahara Nord,
2027,Coordinate_Operation,18135,7301,Zone 4 Sahara Sud,
2028,Coordinate Reference System,26191,7301,Merchich / Zone 1 Nord Maroc,
2029,Coordinate Reference System,26192,7301,Merchich / Zone 2 Sud Maroc,
2030,Coordinate Reference System,26194,7301,Merchich / Zone 3 Sahara Nord,
2031,Coordinate Reference System,26195,7301,Merchich / Zone 4 Sahara Sud,
2032,Datum,6620,7301,12th Parallel traverse,
2033,Coordinate Reference System,4620,7301,12th Parallel traverse,
2034,Datum,5131,7302,Belfast,
2035,Datum,5101,7301,Newlyn,
2036,Coordinate Reference System,5732,7301,Belfast Lough height,
2038,Coordinate_Operation,1887,7301,Observatario Flores to WGS 84 (1),
2040,Coordinate_Operation,1886,7301,Graciosa to WGS 84 (1),
2041,Coordinate_Operation,1885,7301,Sao Braz to WGS 84 (1),
2042,Coordinate_Operation,1890,7302,AAD98 to WGS 84 (1),
2043,Coordinate Reference System,31281,7312,Gebrauchsnetz M28,
2044,Coordinate Reference System,31282,7312,Gebrauchsnetz M31,
2045,Coordinate Reference System,31283,7312,Gebrauchsnetz M34,
2046,Coordinate Reference System,31288,7312,Bundesmeldenetz M28,
2047,Coordinate Reference System,31289,7312,Bundesmeldenetz M31,
2048,Coordinate Reference System,31290,7312,Bundesmeldenetz M34,
2049,Coordinate_Operation,5401,7301,Belfast Lough to Malin Head,
2051,Coordinate_Operation,1895,7301,RT90 to ETRS89 (2),Supersedes RT90 to ETRS89 (1) (code 1437).
2064,Unit of Measure,9121,7302,DDDMMSS.sss
2065,Unit of Measure,9121,7306,dega
2066,Unit of Measure,9120,7302,HDMS
2067,Unit of Measure,9120,7306,dega
2068,Unit of Measure,9119,7302,HDM
2069,Unit of Measure,9119,7306,dega
2070,Unit of Measure,9117,7302,Hdeg
2071,Unit of Measure,9117,7306,dega
2072,Unit of Measure,9118,7302,DMH
2073,Unit of Measure,9118,7306,dega
2074,Unit of Measure,9116,7302,degH
2075,Unit of Measure,9116,7306,dega
2076,Datum,6637,7302,Perroud 1950
2077,Datum,6634,7301,MHNC72
2078,Datum,6627,7302,RGR92
2079,Datum,6624,7302,RGFG95
2080,Datum,6623,7302,CSG67
2082,Datum,6648,7302,ITRF89
2083,Datum,6649,7302,ITRF90
2084,Datum,6650,7302,ITRF91
2085,Datum,6651,7302,ITRF92
2086,Datum,6652,7302,ITRF93
2087,Datum,6653,7302,ITRF94
2088,Datum,6654,7302,ITRF96
2089,Datum,6655,7302,ITRF97
2090,Datum,6656,7302,ITRF2000
2091,Datum,6623,7301,Guyane Francaise
2093,Datum,5151,7302,NGNC69
2095,Coordinate Reference System,4346,7301,ETRF89 (geocentric)
2096,Coordinate Reference System,4346,7301,EUREF89 (geocentric)
2097,Datum,6638,7302,St. Pierre et Miquelon 1950
2098,Coordinate Reference System,4638,7302,St Pierre Miquelon 1950
2099,Coordinate Reference System,66386405,7302,St Pierre Miquelon (deg)
2100,Coordinate_Operation,1923,7302,St. Pierre et Miquelon 1950 to WGS 84 (1)
2101,Coordinate_Operation,19981,7302,Lambert NC
2102,Coordinate Reference System,2984,7302,RGNC 1991 / Lambert NC
2103,Coordinate_Operation,13633,7302,Oregon Lambert
2104,Coordinate_Operation,15374,7302,Oregon Lambert (ft)
2106,Coordinate Reference System,2985,7301,Petrels 1972 / Terre Adelie Stereo
2107,Coordinate Reference System,2986,7301,Perroud 1950 / Terre Adelie Stereo
2108,Coordinate Reference System,4634,7301,MHNC72
2109,Coordinate Reference System,66346405,7301,MHNC72 (deg)
2110,Coordinate Reference System,2982,7301,MHNC72 / UTM zone 58S
2111,Coordinate_Operation,1909,7301,Fort Desaix to RRAF 1991 (1)
2112,Coordinate_Operation,1910,7301,Fort Desaix to RRAF 1991 (2)
2113,Coordinate_Operation,1903,7301,Fort Marigot to RRAF 1991 (1)
2114,Coordinate_Operation,1904,7301,Sainte Anne to RRAF 1991 (1)
2115,Coordinate_Operation,1905,7301,Sainte Anne to RRAF 1991 (2)
2116,Datum,6647,7302,ITRF88,
2117,Datum,6645,7302,RGNC91,
2118,Datum,6640,7302,RRAF91,
2119,Coordinate Reference System,61436405,7301,Côte D'Ivoire (deg),Same alias also applied to Locodjo 1965 (deg) (code 61426405).
2120,Coordinate Reference System,61436405,7301,Port Bouet (deg),Same alias also applied to Locodjo 1965 (deg) (code 61426405).
2121,Coordinate Reference System,61766413,7302,AAD98 (3D deg),
2122,Coordinate Reference System,4339,7302,AAD98 (3D),
2123,Coordinate Reference System,61766405,7302,AAD98 (deg),
2124,Coordinate Reference System,4340,7302,AAD98 (geocentric),
2125,Coordinate Reference System,61836405,7301,Graciosa (deg),The same name is also used for the 1995 adjustment (see CRS code 66656405).
2126,Coordinate Reference System,61826405,7301,Observatorio Flores (deg),
2127,Coordinate Reference System,61846405,7301,Sao Braz (deg),
2128,Coordinate Reference System,62116405,7301,Genuk (deg),
2129,Coordinate Reference System,68136405,7301,Genuk (Jakarta) (deg),
2130,Coordinate Reference System,62156405,7302,BD 50 (deg),
2131,Coordinate Reference System,68096405,7302,BD 50 (Brussels) (deg),
2132,Coordinate Reference System,63136405,7302,BD 72 (deg),
2133,Coordinate Reference System,62276405,7301,Levant (deg),
2134,Coordinate Reference System,63146405,7310,PD/83 (deg),Used for describing result of transformation from Pulkovo 1942(83) to DHDN for Thuringen.
2135,Coordinate Reference System,63146405,7310,RD/83 (deg),Used for describing result of transformation from Pulkovo 1942(83) to DHDN for Sachsen.
2136,Coordinate Reference System,62296405,7301,Old Egyptian (deg),New Egyptian (deg) is an alias for Egypt 1930 (deg) (code 61996405).
2137,Coordinate Reference System,61996405,7301,New Egyptian (deg),Old Egyptian (deg) is an alias for Egypt 1907 (deg) (code 62296405).
2138,Coordinate Reference System,62586413,7301,ETRF89 (3D deg),
2139,Coordinate Reference System,4345,7301,ETRF89 (3D),
2140,Coordinate Reference System,62586405,7301,ETRF89 (deg),
2141,Coordinate Reference System,62586413,7301,EUREF89 (3D deg),
2142,Coordinate Reference System,4345,7301,EUREF89 (3D),
2143,Coordinate Reference System,62586405,7301,EUREF89 (deg),
2144,Coordinate Reference System,61326405,7301,Final Datum 1958 (Iran) (deg),
2145,Coordinate Reference System,66116405,7302,HK1980 (deg),
2146,Coordinate Reference System,62076405,7301,Lisbon 1937 (deg),
2147,Coordinate Reference System,68036405,7301,Lisbon 1937 (Lisbon) (deg),
2148,Coordinate Reference System,4356,7302,LKS94 (geocentric),
2149,Coordinate Reference System,61266405,7302,LKS94 (deg),
2150,Coordinate Reference System,4126,7302,LKS94,This same alias is used for both geographical and projected CRSs.
2151,Coordinate Reference System,4355,7302,LKS94 (3D),
2152,Coordinate Reference System,61266413,7302,LKS94 (3D deg),
2153,Coordinate Reference System,61426405,7301,Côte D'Ivoire (deg),Same alias also applied to Abidjan 1987 (deg) (code 61436405).
2154,Coordinate Reference System,61426405,7301,Port Bouet (deg),Same alias also applied to Abidjan 1987 (deg) (code 61436405).
2155,Coordinate Reference System,61816405,7301,LUREF (deg),
2156,Coordinate Reference System,63126405,7309,D48 (deg),
2157,Coordinate Reference System,68056405,7309,D48 (Ferro) (deg),
2158,Coordinate Reference System,63126405,7308,HR1901 (deg),
2159,Coordinate Reference System,68056405,7308,HR1901 (Ferro) (deg),
2160,Coordinate Reference System,62686405,7302,NAD Michigan (deg),
2161,Coordinate Reference System,66096405,7302,CGQ77 (deg),
2162,Coordinate Reference System,62726405,7301,GD49 (deg),
2163,Coordinate Reference System,61346405,7302,PSD93 (deg),
2164,Coordinate Reference System,66206405,7301,12th Parallel traverse (deg),
2165,Coordinate Reference System,62826405,7301,Congo 1960 Pointe Noire (deg),
2166,Coordinate Reference System,61906413,7301,National Geodetic System [Argentina] (3D deg),see http://www.igm.gov.ar/posgar.html
2167,Coordinate Reference System,4365,7301,National Geodetic System [Argentina] (3D),see http://www.igm.gov.ar/posgar.html
